Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,3/12/2016 12:00:00 AM,0,0
1503960366,3/12/2016 1:00:00 AM,0,0
1503960366,3/12/2016 2:00:00 AM,0,0
1503960366,3/12/2016 3:00:00 AM,0,0
1503960366,3/12/2016 4:00:00 AM,0,0
1503960366,3/12/2016 5:00:00 AM,0,0
1503960366,3/12/2016 6:00:00 AM,0,0
1503960366,3/12/2016 7:00:00 AM,0,0
1503960366,3/12/2016 8:00:00 AM,0,0
1503960366,3/12/2016 9:00:00 AM,1,0.016667
1503960366,3/12/2016 10:00:00 AM,26,0.433333
1503960366,3/12/2016 11:00:00 AM,49,0.816667
1503960366,3/12/2016 12:00:00 PM,47,0.783333
1503960366,3/12/2016 1:00:00 PM,20,0.333333
1503960366,3/12/2016 2:00:00 PM,121,2.016667
1503960366,3/12/2016 3:00:00 PM,129,2.15
1503960366,3/12/2016 4:00:00 PM,42,0.7
1503960366,3/12/2016 5:00:00 PM,20,0.333333
1503960366,3/12/2016 6:00:00 PM,2,0.033333
1503960366,3/12/2016 7:00:00 PM,30,0.5
1503960366,3/12/2016 8:00:00 PM,4,0.066667
1503960366,3/12/2016 9:00:00 PM,29,0.483333
1503960366,3/12/2016 10:00:00 PM,41,0.683333
1503960366,3/12/2016 11:00:00 PM,35,0.583333
1503960366,3/13/2016 12:00:00 AM,3,0.05
1503960366,3/13/2016 1:00:00 AM,0,0
1503960366,3/13/2016 2:00:00 AM,1,0.016667
1503960366,3/13/2016 3:00:00 AM,0,0
1503960366,3/13/2016 4:00:00 AM,0,0
1503960366,3/13/2016 5:00:00 AM,0,0
1503960366,3/13/2016 6:00:00 AM,0,0
1503960366,3/13/2016 7:00:00 AM,0,0
1503960366,3/13/2016 8:00:00 AM,1,0.016667
1503960366,3/13/2016 9:00:00 AM,5,0.083333
1503960366,3/13/2016 10:00:00 AM,85,1.416667
1503960366,3/13/2016 11:00:00 AM,130,2.166667
1503960366,3/13/2016 12:00:00 PM,3,0.05
1503960366,3/13/2016 1:00:00 PM,9,0.15
1503960366,3/13/2016 2:00:00 PM,3,0.05
1503960366,3/13/2016 3:00:00 PM,23,0.383333
1503960366,3/13/2016 4:00:00 PM,25,0.416667
1503960366,3/13/2016 5:00:00 PM,5,0.083333
1503960366,3/13/2016 6:00:00 PM,110,1.833333
1503960366,3/13/2016 7:00:00 PM,57,0.95
1503960366,3/13/2016 8:00:00 PM,25,0.416667
1503960366,3/13/2016 9:00:00 PM,9,0.15
1503960366,3/13/2016 10:00:00 PM,17,0.283333
1503960366,3/13/2016 11:00:00 PM,46,0.766667
1503960366,3/14/2016 12:00:00 AM,4,0.066667
1503960366,3/14/2016 1:00:00 AM,3,0.05
1503960366,3/14/2016 2:00:00 AM,0,0
1503960366,3/14/2016 3:00:00 AM,0,0
1503960366,3/14/2016 4:00:00 AM,0,0
1503960366,3/14/2016 5:00:00 AM,0,0
1503960366,3/14/2016 6:00:00 AM,0,0
1503960366,3/14/2016 7:00:00 AM,3,0.05
1503960366,3/14/2016 8:00:00 AM,14,0.233333
1503960366,3/14/2016 9:00:00 AM,61,1.016667
1503960366,3/14/2016 10:00:00 AM,4,0.066667
1503960366,3/14/2016 11:00:00 AM,14,0.233333
1503960366,3/14/2016 12:00:00 PM,9,0.15
1503960366,3/14/2016 1:00:00 PM,1,0.016667
1503960366,3/14/2016 2:00:00 PM,6,0.1
1503960366,3/14/2016 3:00:00 PM,13,0.216667
1503960366,3/14/2016 4:00:00 PM,11,0.183333
1503960366,3/14/2016 5:00:00 PM,17,0.283333
1503960366,3/14/2016 6:00:00 PM,29,0.483333
1503960366,3/14/2016 7:00:00 PM,33,0.55
1503960366,3/14/2016 8:00:00 PM,45,0.75
1503960366,3/14/2016 9:00:00 PM,12,0.2
1503960366,3/14/2016 10:00:00 PM,0,0
1503960366,3/14/2016 11:00:00 PM,90,1.5
1503960366,3/15/2016 12:00:00 AM,3,0.05
1503960366,3/15/2016 1:00:00 AM,2,0.033333
1503960366,3/15/2016 2:00:00 AM,4,0.066667
1503960366,3/15/2016 3:00:00 AM,0,0
1503960366,3/15/2016 4:00:00 AM,1,0.016667
1503960366,3/15/2016 5:00:00 AM,0,0
1503960366,3/15/2016 6:00:00 AM,1,0.016667
1503960366,3/15/2016 7:00:00 AM,1,0.016667
1503960366,3/15/2016 8:00:00 AM,28,0.466667
1503960366,3/15/2016 9:00:00 AM,49,0.816667
1503960366,3/15/2016 10:00:00 AM,17,0.283333
1503960366,3/15/2016 11:00:00 AM,34,0.566667
1503960366,3/15/2016 12:00:00 PM,49,0.816667
1503960366,3/15/2016 1:00:00 PM,16,0.266667
1503960366,3/15/2016 2:00:00 PM,26,0.433333
1503960366,3/15/2016 3:00:00 PM,14,0.233333
1503960366,3/15/2016 4:00:00 PM,27,0.45
1503960366,3/15/2016 5:00:00 PM,19,0.316667
1503960366,3/15/2016 6:00:00 PM,15,0.25
1503960366,3/15/2016 7:00:00 PM,16,0.266667
1503960366,3/15/2016 8:00:00 PM,86,1.433333
1503960366,3/15/2016 9:00:00 PM,35,0.583333
1503960366,3/15/2016 10:00:00 PM,37,0.616667
1503960366,3/15/2016 11:00:00 PM,15,0.25
1503960366,3/16/2016 12:00:00 AM,0,0
1503960366,3/16/2016 1:00:00 AM,0,0
1503960366,3/16/2016 2:00:00 AM,1,0.016667
1503960366,3/16/2016 3:00:00 AM,0,0
1503960366,3/16/2016 4:00:00 AM,0,0
1503960366,3/16/2016 5:00:00 AM,0,0
1503960366,3/16/2016 6:00:00 AM,0,0
1503960366,3/16/2016 7:00:00 AM,6,0.1
1503960366,3/16/2016 8:00:00 AM,27,0.45
1503960366,3/16/2016 9:00:00 AM,27,0.45
1503960366,3/16/2016 10:00:00 AM,12,0.2
1503960366,3/16/2016 11:00:00 AM,36,0.6
1503960366,3/16/2016 12:00:00 PM,34,0.566667
1503960366,3/16/2016 1:00:00 PM,16,0.266667
1503960366,3/16/2016 2:00:00 PM,3,0.05
1503960366,3/16/2016 3:00:00 PM,19,0.316667
1503960366,3/16/2016 4:00:00 PM,28,0.466667
1503960366,3/16/2016 5:00:00 PM,43,0.716667
1503960366,3/16/2016 6:00:00 PM,74,1.233333
1503960366,3/16/2016 7:00:00 PM,7,0.116667
1503960366,3/16/2016 8:00:00 PM,16,0.266667
1503960366,3/16/2016 9:00:00 PM,49,0.816667
1503960366,3/16/2016 10:00:00 PM,18,0.3
1503960366,3/16/2016 11:00:00 PM,18,0.3
1503960366,3/17/2016 12:00:00 AM,11,0.183333
1503960366,3/17/2016 1:00:00 AM,1,0.016667
1503960366,3/17/2016 2:00:00 AM,1,0.016667
1503960366,3/17/2016 3:00:00 AM,0,0
1503960366,3/17/2016 4:00:00 AM,0,0
1503960366,3/17/2016 5:00:00 AM,0,0
1503960366,3/17/2016 6:00:00 AM,0,0
1503960366,3/17/2016 7:00:00 AM,1,0.016667
1503960366,3/17/2016 8:00:00 AM,11,0.183333
1503960366,3/17/2016 9:00:00 AM,27,0.45
1503960366,3/17/2016 10:00:00 AM,11,0.183333
1503960366,3/17/2016 11:00:00 AM,54,0.9
1503960366,3/17/2016 12:00:00 PM,11,0.183333
1503960366,3/17/2016 1:00:00 PM,23,0.383333
1503960366,3/17/2016 2:00:00 PM,25,0.416667
1503960366,3/17/2016 3:00:00 PM,20,0.333333
1503960366,3/17/2016 4:00:00 PM,24,0.4
1503960366,3/17/2016 5:00:00 PM,5,0.083333
1503960366,3/17/2016 6:00:00 PM,15,0.25
1503960366,3/17/2016 7:00:00 PM,64,1.066667
1503960366,3/17/2016 8:00:00 PM,16,0.266667
1503960366,3/17/2016 9:00:00 PM,49,0.816667
1503960366,3/17/2016 10:00:00 PM,31,0.516667
1503960366,3/17/2016 11:00:00 PM,35,0.583333
1503960366,3/18/2016 12:00:00 AM,13,0.216667
1503960366,3/18/2016 1:00:00 AM,6,0.1
1503960366,3/18/2016 2:00:00 AM,0,0
1503960366,3/18/2016 3:00:00 AM,0,0
1503960366,3/18/2016 4:00:00 AM,0,0
1503960366,3/18/2016 5:00:00 AM,1,0.016667
